ind.id	family	tmt	dead	dev.rate	temp	year
1	A	30	0	0.338903271351355	30.454765625	2018
2	A	30	0	0.338903271351355	30.454765625	2018
3	A	30	0	0.338903271351355	30.454765625	2018
4	A	30	0	0.338903271351355	30.454765625	2018
5	A	30	0	0.338903271351355	30.454765625	2018
6	A	30	0	0.338903271351355	30.454765625	2018
7	A	30	0	0.338903271351355	30.454765625	2018
8	A	30	0	0.312364425161822	30.454765625	2018
9	A	30	1	NA	30.3998958333333	2018
10	A	30	1	NA	30.3998958333333	2018
11	A	30	1	NA	30.3998958333333	2018
12	A	30	1	NA	30.3998958333333	2018
13	A	30	1	NA	30.3998958333333	2018
14	A	30	1	NA	30.3998958333333	2018
15	A	30	1	NA	30.3998958333333	2018
16	A	30	1	NA	30.3998958333333	2018
17	A	30	1	NA	30.3998958333333	2018
18	A	15	0	0.126017327383547	15.4194328703704	2018
19	A	15	0	0.126017327383547	15.4194328703704	2018
20	A	15	0	0.121344906042291	15.4194328703704	2018
21	A	15	0	0.121344906042291	15.4194328703704	2018
22	A	15	0	0.121344906042291	15.4194328703704	2018
23	A	15	0	0.121344906042291	15.4194328703704	2018
24	A	15	0	0.121344906042291	15.4194328703704	2018
25	A	15	0	0.121344906042291	15.4194328703704	2018
26	A	15	0	0.121344906042291	15.4194328703704	2018
27	A	15	0	0.121344906042291	15.4194328703704	2018
28	A	15	0	0.121344906042291	15.4194328703704	2018
29	A	15	0	0.100812097452144	15.3036647727273	2018
30	A	15	0	0.100812097452144	15.3036647727273	2018
31	A	15	1	NA	16.1379166666667	2018
32	A	10	0	0.0475357343279558	10.8881439393939	2018
33	A	10	0	0.0475357343279558	10.8881439393939	2018
34	A	10	0	0.0455192034139403	10.8854347826087	2018
35	A	10	0	0.0455192034139403	10.8854347826087	2018
36	A	10	0	0.0455192034139403	10.8854347826087	2018
37	A	10	1	NA	10.9705208333333	2018
38	A	10	1	NA	10.9705208333333	2018
39	A	10	1	NA	10.9705208333333	2018
40	A	10	1	NA	10.9705208333333	2018
41	A	10	1	NA	10.9705208333333	2018
42	A	10	1	NA	10.9705208333333	2018
43	A	10	1	NA	10.9705208333333	2018
44	A	10	1	NA	10.9705208333333	2018
45	A	10	1	NA	10.9705208333333	2018
46	A	10	1	NA	10.9705208333333	2018
47	A	10	1	NA	10.9705208333333	2018
48	A	10	1	NA	10.9705208333333	2018
49	A	10	1	NA	10.9705208333333	2018
50	A	10	1	NA	10.9705208333333	2018
51	A	10	1	NA	10.9705208333333	2018
52	A	10	1	NA	10.9705208333333	2018
53	A	10	1	NA	10.9705208333333	2018
54	A	10	1	NA	10.9705208333333	2018
55	A	10	1	NA	10.9705208333333	2018
56	A	20	0	0.192153722980676	20.0065625	2018
57	A	20	0	0.192153722980676	20.0065625	2018
58	A	20	0	0.192153722980676	20.0065625	2018
59	A	20	0	0.192153722980676	20.0065625	2018
60	A	20	0	0.192153722980676	20.0065625	2018
61	A	20	0	0.169891458235231	20.0028869047619	2018
62	A	20	0	0.126293632696913	19.9994560185185	2018
63	A	20	1	NA	19.9765625	2018
64	A	20	1	NA	19.9765625	2018
65	A	20	1	NA	19.9765625	2018
66	A	20	1	NA	19.9765625	2018
67	A	20	1	NA	19.9765625	2018
68	A	20	1	NA	19.9765625	2018
69	A	25	0	0.311620861283567	25.260390625	2018
70	A	25	0	0.311620861283567	25.260390625	2018
71	A	25	0	0.311620861283567	25.260390625	2018
72	A	25	0	0.311620861283567	25.260390625	2018
73	A	25	0	0.311620861283567	25.260390625	2018
74	A	25	0	0.311620861283567	25.260390625	2018
75	A	25	0	0.260633484159985	25.2192916666667	2018
76	A	25	0	0.260633484159985	25.2192916666667	2018
77	A	25	1	NA	25.265	2018
78	A	25	1	NA	25.265	2018
79	A	25	1	NA	25.265	2018
80	A	25	1	NA	25.265	2018
81	A	25	1	NA	25.265	2018
82	B	10	0	0.0500608378235961	10.8842212301587	2018
83	B	10	0	0.0500608378235961	10.8842212301587	2018
84	B	10	0	0.04782464297558	10.8815672348485	2018
85	B	10	0	0.04782464297558	10.8815672348485	2018
86	B	10	0	0.0456794822991327	10.8790670289855	2018
87	B	10	1	NA	11.0058333333333	2018
88	B	10	1	NA	11.0058333333333	2018
89	B	10	1	NA	11.0058333333333	2018
90	B	10	1	NA	11.0058333333333	2018
91	B	10	1	NA	11.0058333333333	2018
92	B	10	1	NA	11.0058333333333	2018
93	B	15	0	0.126961735143523	15.2597800925926	2018
94	B	15	0	0.126961735143523	15.2597800925926	2018
95	B	15	0	0.126961735143523	15.2597800925926	2018
96	B	15	1	NA	16.313125	2018
97	B	15	1	NA	16.313125	2018
98	B	15	1	NA	16.313125	2018
99	B	15	1	NA	16.313125	2018
100	B	15	1	NA	16.313125	2018
101	B	15	1	NA	16.313125	2018
102	B	15	1	NA	16.313125	2018
103	B	15	1	NA	16.313125	2018
104	B	15	1	NA	16.313125	2018
105	B	15	1	NA	16.313125	2018
106	B	20	0	0.188951581157854	20.0539236111111	2018
107	B	20	0	0.188951581157854	20.0539236111111	2018
108	B	20	0	0.166454745115885	20.0532589285714	2018
109	B	20	0	0.166454745115885	20.0532589285714	2018
110	B	20	0	0.166454745115885	20.0532589285714	2018
111	B	20	0	0.166454745115885	20.0532589285714	2018
112	B	20	0	0.166454745115885	20.0532589285714	2018
113	B	20	0	0.166454745115885	20.0532589285714	2018
114	B	20	0	0.166454745115885	20.0532589285714	2018
115	B	20	0	0.166454745115885	20.0532589285714	2018
116	B	20	0	0.166454745115885	20.0532589285714	2018
